row_id,order_id,order_date,ship_date,customer_id,product_id,location_id,ship_mode,order_priority,sales,quantity,discount,profit,shipping_cost
15865,ES-2014-5366847,28-12-2014,31-12-2014,ZC-21910,OFF-PA-10000908,LOC-0CD6039DD8,First Class,Medium,237.33,9,0.0,47.25,40.28
19920,ES-2014-2434348,28-12-2014,04-01-2015,BE-11455,OFF-AP-10002531,LOC-092BFD5C0B,Standard Class,Medium,440.64,5,0.1,-44.16,28.85
19919,ES-2014-2434348,28-12-2014,04-01-2015,BE-11455,OFF-BI-10000538,LOC-092BFD5C0B,Standard Class,Medium,202.2,4,0.0,22.2,21.9
15864,ES-2014-5366847,28-12-2014,31-12-2014,ZC-21910,OFF-EN-10000056,LOC-0CD6039DD8,First Class,Medium,135.45,5,0.0,54.15,20.55
33866,CA-2014-134404,28-12-2014,28-12-2014,DR-12880,TEC-PH-10000576,LOC-465F65A816,Same Day,Medium,164.388,2,0.4,-35.6174,14.67
6975,MX-2014-128566,28-12-2014,03-01-2015,TC-21535,FUR-CH-10001972,LOC-F66FC2B69B,Standard Class,Low,116.04,3,0.0,26.64,13.69
6976,MX-2014-128566,28-12-2014,03-01-2015,TC-21535,TEC-AC-10003690,LOC-F66FC2B69B,Standard Class,Low,124.08,4,0.0,0.0,12.19
43572,EG-2014-5780,28-12-2014,30-12-2014,ZD-11925,FUR-DEF-10001359,LOC-7AF3196D8D,Second Class,High,108.66,1,0.0,2.16,10.59
19921,ES-2014-2434348,28-12-2014,04-01-2015,BE-11455,OFF-BI-10001119,LOC-092BFD5C0B,Standard Class,Medium,41.37,7,0.0,3.57,4.26
33867,CA-2014-134404,28-12-2014,28-12-2014,DR-12880,OFF-AR-10004441,LOC-465F65A816,Same Day,Medium,13.248,4,0.2,3.6432,2.9
43571,EG-2014-5780,28-12-2014,30-12-2014,ZD-11925,OFF-AVE-10000432,LOC-7AF3196D8D,Second Class,High,23.16,4,0.0,6.24,1.62
43570,EG-2014-5780,28-12-2014,30-12-2014,ZD-11925,OFF-HON-10001102,LOC-7AF3196D8D,Second Class,High,8.76,1,0.0,1.38,1.23
327,US-2014-161186,28-12-2014,01-01-2015,SG-20080,TEC-AC-10004044,LOC-6A9021FF33,Standard Class,Medium,31.848,2,0.4,-6.392,1.11
