row_id,order_id,order_date,ship_date,customer_id,product_id,location_id,ship_mode,order_priority,sales,quantity,discount,profit,shipping_cost
12080,ES-2014-4107155,29-12-2014,31-12-2014,CD-11920,FUR-TA-10003268,LOC-23F5C0631B,Second Class,High,1461.135,5,0.35,202.185,310.17
20826,ID-2014-68183,29-12-2014,31-12-2014,AH-10075,OFF-AP-10003032,LOC-D84A39D72E,First Class,Medium,1534.869,3,0.1,-102.411,255.42
12079,ES-2014-4107155,29-12-2014,31-12-2014,CD-11920,OFF-AP-10000802,LOC-23F5C0631B,Second Class,High,1104.408,4,0.1,208.608,182.2
31567,CA-2014-163979,29-12-2014,03-01-2015,KH-16690,OFF-ST-10003208,LOC-3CBE928151,Second Class,High,725.84,4,0.0,210.4936,156.45
17061,IT-2014-2245117,29-12-2014,31-12-2014,SB-20170,FUR-CH-10001802,LOC-E2D6F0FE3B,First Class,Critical,516.0,8,0.5,-392.16,91.67
17263,ES-2014-2688044,29-12-2014,29-12-2014,AT-10735,OFF-AP-10002552,LOC-B113128B4B,Same Day,Medium,972.864,2,0.1,205.344,84.62
12081,ES-2014-4107155,29-12-2014,31-12-2014,CD-11920,TEC-PH-10002645,LOC-23F5C0631B,Second Class,High,486.642,4,0.15,143.082,69.83
50755,JO-2014-5980,29-12-2014,02-01-2015,PT-9090,FUR-DAN-10002846,LOC-654A4C54E2,Second Class,Medium,687.48,4,0.0,185.52,60.89
44194,TU-2014-3610,29-12-2014,01-01-2015,JD-5895,OFF-HOO-10004910,LOC-C527FA626C,First Class,Critical,209.76,1,0.6,-209.76,60.04
12083,ES-2014-4107155,29-12-2014,31-12-2014,CD-11920,FUR-CH-10000966,LOC-23F5C0631B,Second Class,High,400.95,6,0.1,13.23,59.42
347,MX-2014-122574,29-12-2014,01-01-2015,AG-10300,OFF-EN-10002855,LOC-BA228BDAE1,First Class,Medium,328.8,10,0.0,147.8,58.45
17516,IT-2014-5778325,29-12-2014,02-01-2015,JJ-15760,TEC-CO-10002244,LOC-440B26CFAA,Standard Class,High,373.23,6,0.5,-253.89,50.09
